rider,timestamp,ax,ay,az,deviation,lat,lng,speed_kmh,accuracy,road_tag
anonymous,1777117233834,-0.577,-5.876,-7.136,0.5482,49.107530,16.728989,0.3,2.0,unknown
anonymous,1777117233850,-0.808,-5.735,-7.752,0.1340,49.107530,16.728989,0.3,2.0,unknown
anonymous,1777117233866,-0.136,-5.357,-8.296,0.0666,49.107530,16.728989,0.3,2.0,unknown
anonymous,1777117233883,0.297,-5.114,-8.907,0.4655,49.107530,16.728989,0.3,2.0,unknown
anonymous,1777117233900,0.448,-5.101,-8.330,0.0323,49.107530,16.728989,0.3,2.0,unknown
anonymous,1777117233916,1.367,-5.816,-7.888,0.0854,49.107530,16.728989,0.3,2.0,unknown
anonymous,1777117233934,-0.385,-5.788,-7.188,0.5734,49.107530,16.728989,0.3,2.0,unknown
anonymous,1777117233949,-0.752,-5.628,-8.032,0.0262,49.107530,16.728989,0.3,2.0,unknown
anonymous,1777117233966,0.023,-4.946,-8.632,0.1384,49.107530,16.728989,0.3,2.0,unknown
anonymous,1777117233983,0.479,-4.666,-8.882,0.2343,49.107530,16.728989,0.3,2.0,unknown
anonymous,1777117234000,-0.133,-5.209,-8.314,0.0013,49.107530,16.728989,0.3,2.0,unknown
anonymous,1777117234016,1.292,-5.665,-8.312,0.3320,49.107530,16.728989,0.3,2.0,unknown
anonymous,1777117234034,-0.621,-6.097,-8.062,0.3168,49.107530,16.728989,0.3,2.0,unknown
anonymous,1777117234050,-1.504,-5.614,-7.236,0.5294,49.107530,16.728989,0.3,2.0,unknown
anonymous,1777117234067,-0.303,-5.344,-8.597,0.3175,49.107530,16.728992,0.3,2.0,unknown
anonymous,1777117234083,0.287,-5.167,-8.890,0.4764,49.107530,16.728992,0.3,2.0,unknown
anonymous,1777117234101,0.062,-4.901,-8.393,0.0907,49.107530,16.728992,0.3,2.0,unknown
anonymous,1777117234116,1.120,-5.545,-8.414,0.3284,49.107530,16.728992,0.3,2.0,unknown
anonymous,1777117234134,1.404,-6.154,-7.377,0.1008,49.107530,16.728992,0.3,2.0,unknown
anonymous,1777117234150,-0.897,-5.806,-7.249,0.4791,49.107530,16.728992,0.3,2.0,unknown
anonymous,1777117234167,-0.490,-5.333,-8.783,0.4775,49.107530,16.728992,0.3,2.0,unknown
anonymous,1777117234183,0.240,-5.193,-9.011,0.5932,49.107530,16.728992,0.3,2.0,unknown
anonymous,1777117234201,0.085,-5.143,-8.764,0.3518,49.107530,16.728992,0.3,2.0,unknown
anonymous,1777117234223,0.654,-5.615,-8.355,0.2777,49.107530,16.728992,0.3,2.0,unknown
anonymous,1777117234234,1.845,-5.967,-7.510,0.0422,49.107530,16.728992,0.3,2.0,unknown
anonymous,1777117234249,-0.946,-6.106,-7.465,0.1193,49.107530,16.728992,0.3,2.0,unknown
anonymous,1777117234266,-0.562,-5.233,-8.483,0.1725,49.107530,16.728992,0.3,2.0,unknown
